,Unnamed: 0,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%
0,0,1,Aguascalientes,1425607,728924,696683,71864,78833,156683,77815,78140,941834,145376,1038904,960764,276430,144420,56422,71294,21908,288036,467249,407903,692983,289268,403715,13947,262088,780525,271996,31789,1272419,73359,1900,74439,386445,119453,1421200,395735,1025465,463972,386671,3.68,0.89,86423,384361,383430,295903,152521,382597,383148,365189,335710,105752,370411,177149,359895,236003,98724,51.1,48.9,5.0,5.5,11.0,5.5,5.5,66.1,10.2,19.4,52.2,20.4,5.0,2.1,27.7,48.6,28.612583973002376,48.609679946857725,41.7424381261878,58.2575618738122,0.9783201120645452,18.4,303785,54.8,19.1,2.2,21.3,89.3,5.1,0.1,5.2,30.910737621136256,27.845130875316634,72.15486912468337,83.3,18.6,82.8,82.6,63.8,32.9,82.5,82.6,78.7,72.4,22.8,79.8,38.2,77.6,50.9,21.3
1,16376,2,Baja California,3769020,1868431,1900589,149957,175286,365938,187122,183590,2637218,379302,2882498,2698908,1463949,735208,211416,151945,52496,721812,1338625,1034874,1984462,825213,1159249,26436,836317,1995530,515855,131967,2336986,616812,5678,789177,1148913,379379,3739800,1187752,2552048,1325949,1149563,3.26,0.9,342666,1132622,1117719,122201,71176,1091956,1101573,1086226,946647,155157,1071379,576454,1080169,800189,384011,49.6,50.4,4.0,4.7,9.7,5.0,4.9,70.0,10.1,38.8,50.2,14.4,4.0,1.8,25.0,49.6,27.457376187974592,52.6519360470361,41.58371387307996,58.41628612692004,0.7014024865880255,22.2,647822,52.9,13.7,3.5,17.2,62.0,16.4,0.2,20.9,33.020689991322236,31.759773249906413,68.24022675009358,86.7,25.8,85.4,84.3,9.2,5.4,82.4,83.1,81.9,71.4,11.7,80.8,43.5,81.5,60.3,29.0
2,73229,3,Baja California Sur,798447,392568,405879,35963,39870,81476,39744,39576,549039,75608,597552,557976,313283,151310,72475,35383,13926,138355,292807,207713,420525,172203,248322,6755,129270,408856,139342,12335,587796,88010,1125,116141,240468,76323,793424,242023,551401,299873,240660,3.3,1.01,83834,235285,226124,195709,64637,230755,231864,219805,164034,28452,214312,108948,226517,148723,67961,49.2,50.8,4.5,5.0,10.2,5.0,5.0,68.8,9.5,39.2,48.3,23.1,4.4,2.3,23.2,52.5,26.01462589251384,52.66786649583504,40.94952737649367,59.05047262350633,0.8460173311440835,16.2,151677,51.2,17.5,1.5,19.0,73.6,11.0,0.1,14.5,31.73935825140975,30.50361471294037,69.49638528705962,80.3,28.0,78.5,75.4,65.3,21.6,77.0,77.3,73.3,54.7,9.5,71.5,36.3,75.5,49.6,22.7
3,91196,4,Campeche,928363,471424,456939,45541,50104,98089,47384,45762,613113,102616,682951,637189,199443,100331,27860,52259,39986,172718,285453,266137,456296,185018,271278,6311,203304,288186,327334,7441,558124,226028,1025,137884,260725,81072,926854,268706,658148,321634,260824,3.55,1.12,116234,255453,248625,188401,52939,245200,245656,218630,201206,62159,226163,87769,218322,114020,38508,50.8,49.2,4.9,5.4,10.6,5.1,4.9,66.0,11.1,21.5,50.3,14.0,5.6,5.9,25.3,44.8,28.667342408088217,49.150601650431994,40.54780230376773,59.45219769623227,0.6797987425177436,21.9,334775,31.0,35.3,0.8,36.1,60.1,24.3,0.1,14.9,31.094831719244414,28.991189550889352,71.00881044911064,81.1,36.1,79.4,77.3,58.6,16.5,76.2,76.4,68.0,62.6,19.3,70.3,27.3,67.9,35.5,12.0
4,103036,5,Coahuila de Zaragoza,3146771,1583102,1563669,160368,177691,327112,159109,158561,2086745,348537,2316332,2157771,398612,200206,83587,134816,38606,668396,1050411,984416,1450922,572990,877932,34013,597373,2085705,181821,82868,2357324,421206,2299,355798,900883,257311,3137032,817308,2319724,1078048,901249,3.48,0.84,220857,895921,889513,598397,122510,882547,886984,870949,780014,167028,863515,367970,824291,519599,195883,50.3,49.7,5.1,5.6,10.4,5.1,5.0,66.3,11.1,12.7,50.2,21.0,4.3,1.7,28.9,48.7,31.28336952387066,46.10828051993615,39.49144061500205,60.50855938499795,1.080885771478128,19.0,264689,66.3,5.8,2.6,8.4,74.9,13.4,0.1,11.3,28.562088528699064,26.053543604273084,73.94645639572691,83.6,20.5,83.1,82.5,55.5,11.4,81.9,82.3,80.8,72.4,15.5,80.1,34.1,76.5,48.2,18.2
5,163701,6,Colima,731391,370769,360622,29614,34469,72944,36136,36239,494510,91557,556272,520033,193703,98633,35221,39880,18734,130565,253137,204200,380902,162558,218344,5740,123074,362244,179704,9344,610645,57884,812,59254,226853,78777,728297,238959,489338,288978,227050,3.21,0.96,73164,224634,224122,168639,56894,224485,224708,211596,170380,41614,206844,90200,206736,132395,43881,50.7,49.3,4.0,4.7,10.0,4.9,5.0,67.6,12.5,26.5,50.9,18.2,5.5,3.4,23.5,48.7,27.9194028912032,52.07912047044604,42.67711904899423,57.32288095100577,0.7848059382737824,16.8,189048,49.5,24.6,1.3,25.8,83.5,7.9,0.1,8.1,34.72601199895968,32.81065279686721,67.18934720313278,78.6,25.3,77.7,77.6,58.4,19.7,77.7,77.8,73.2,59.0,14.4,71.6,31.2,71.5,45.8,15.2
6,178334,7,Chiapas,5543828,2837881,2705947,334055,363406,730599,342016,323350,3396877,507757,3745908,3422558,174961,87981,56588,227878,512720,755926,1070250,1571228,2454255,936525,1517730,47086,1814782,672681,2538415,32965,2985644,1795861,15429,713462,1351023,358039,5524499,1260991,4263508,1694405,1351630,4.09,1.32,562888,1317473,1207826,667487,415559,1178078,1226871,870621,590197,187556,1036741,212970,944695,292189,61298,51.2,48.8,6.0,6.6,13.2,6.2,5.8,61.3,9.2,3.2,50.3,32.3,4.1,13.7,20.2,31.3,28.34193268622331,44.27004228846927,38.159237732020514,61.840762267979486,0.8493409247184437,32.7,2571380,12.1,45.8,0.6,46.4,53.9,32.4,0.3,12.9,26.501325292019455,22.825436297481456,77.17456370251854,79.8,33.2,77.8,71.3,39.4,24.5,69.5,72.4,51.4,34.8,11.1,61.2,12.6,55.8,17.2,3.6
7,233528,8,Chihuahua,3741869,1888047,1853822,163950,191706,385907,200760,195214,2512947,419821,2791907,2596693,561040,279227,89954,167788,73223,734711,1179575,1122057,1829503,749737,1079766,34120,574108,2043251,688684,127454,2712366,475603,3306,533329,1146395,388589,3725031,1182399,2542632,1401765,1146915,3.25,0.8,324559,1125620,1125206,407925,42464,1095308,1105223,1081646,984232,125791,1068519,488724,1051045,650546,282049,50.5,49.5,4.4,5.1,10.3,5.4,5.2,67.2,11.2,15.0,49.8,16.0,4.5,2.6,26.3,45.4,29.98653881255597,48.89275920669591,40.980364612684426,59.019635387315574,0.9118437871555631,15.3,816138,54.6,18.4,3.4,21.8,72.5,12.7,0.1,14.3,33.89660631806664,31.741990872022274,68.25800912797773,81.8,23.2,80.3,80.3,29.1,3.0,78.1,78.8,77.2,70.2,9.0,76.2,34.9,75.0,46.4,20.1
8,314863,9,Ciudad de México,9209944,4805017,4404927,267151,324942,692726,367954,380808,6525440,1491619,7547545,7166737,1679063,934710,308686,493589,107444,1468292,4516388,2798579,4985469,2273939,2711530,114488,2502789,3881545,1203824,444160,6988016,668246,55245,1472848,2756319,1098365,9159392,3408051,5751341,3036239,2757433,3.32,0.8,813453,2746872,2719720,2328798,1665465,2738826,2744306,2580111,2279427,550349,2647911,1649403,2536523,2084156,957162,52.2,47.8,2.9,3.5,7.5,4.0,4.1,70.9,16.2,18.2,55.7,18.4,5.4,1.4,19.5,63.0,30.386493120913656,54.13137148282335,45.61133566370586,54.38866433629414,1.2430911632035981,27.2,1647984,42.1,13.1,4.8,17.9,75.9,7.3,0.6,16.0,39.848979744361955,37.208266662241336,62.791733337758664,90.8,26.8,90.5,89.6,76.7,54.9,90.2,90.4,85.0,75.1,18.1,87.2,54.3,83.5,68.6,31.5
9,383804,10,Durango,1832650,927784,904866,95793,107941,209620,100550,98442,1172629,209478,1315571,1217129,210697,106016,39250,101953,35779,389145,513240,593095,796197,309943,486254,22082,461394,744664,404554,16765,1521197,168665,1568,135125,493698,157252,1821273,536132,1285141,632975,493989,3.69,0.91,122022,483167,482430,383135,116819,459918,467143,449272,381316,128226,457688,169760,434450,215108,73099,50.6,49.4,5.2,5.9,11.4,5.5,5.4,64.0,11.4,11.5,50.3,18.6,5.6,2.7,29.6,42.2,32.36269882410717,43.44512045398739,38.92792864077609,61.07207135922391,1.2049218345019508,25.2,421319,40.6,22.1,0.9,23.0,83.0,9.2,0.1,7.4,31.851860854206418,29.437212323468255,70.56278767653174,78.0,19.3,76.3,76.2,60.5,18.5,72.7,73.8,71.0,60.2,20.3,72.3,26.8,68.6,34.0,11.5
10,419532,11,Guanajuato,6166934,3170480,2996454,313928,337595,656650,327519,330251,4052225,681374,4519193,4188942,557773,279349,117626,285615,238838,1319370,1535747,1828679,2943208,1193933,1749275,53931,1275190,2259062,2181882,93767,5601990,255840,5243,283625,1586531,522424,6144406,1894813,4249593,1992652,1587234,3.87,1.02,404843,1573803,1538307,1279561,453354,1526508,1531196,1464808,1277392,582048,1497382,550020,1381668,764350,240833,51.4,48.6,5.1,5.5,10.6,5.3,5.4,65.7,11.0,9.0,50.1,21.1,4.6,5.3,29.2,36.7,29.652968557795493,47.72562832681524,40.56570245799821,59.43429754200179,0.8745188451830358,20.7,2275649,36.6,35.4,1.5,36.9,90.8,4.1,0.1,4.6,32.92869789496707,30.83801753985658,69.16198246014342,79.7,20.3,79.0,77.2,64.2,22.8,76.6,76.8,73.5,64.1,29.2,75.1,27.6,69.3,38.4,12.1
11,489075,12,Guerrero,3540685,1840073,1700612,197506,207880,422140,207435,202882,2174538,443534,2491307,2288425,195093,100013,58096,213615,310327,495963,852693,1050902,1606120,677989,928131,29067,891961,506026,1744754,14282,2845506,358158,2880,316012,942043,334190,3525670,1145999,2379671,1316263,942509,3.74,1.29,425351,920890,831768,547435,285156,807068,824631,758141,430583,87178,759777,191317,715753,298180,56999,52.0,48.0,5.6,5.9,11.9,5.9,5.7,61.4,12.5,5.5,51.3,29.8,6.0,12.5,19.9,37.3,29.680753865424347,45.36184382400581,42.21284835504196,57.78715164495804,0.8209428401566363,25.2,1759036,14.3,49.3,0.4,49.7,80.4,10.1,0.1,8.9,35.4750260869196,32.50443178176063,67.49556821823937,71.6,32.3,70.0,63.2,41.6,21.7,61.3,62.6,57.6,32.7,6.6,57.7,14.5,54.4,22.7,4.3
12,547489,13,Hidalgo,3082841,1601462,1481379,134738,156486,330011,170183,167457,2023471,383675,2288217,2120760,609940,326647,172723,166965,151311,645662,874386,948956,1473904,613816,860088,28460,928550,744201,1097048,24978,2475984,301786,6785,291743,857174,264559,3075177,830295,2244882,1198017,857462,3.59,0.93,254360,847206,821517,652744,193053,781898,812005,708258,514108,192405,759456,261093,727888,332320,95701,51.9,48.1,4.4,5.1,10.7,5.5,5.4,65.6,12.4,19.8,53.6,28.3,5.4,6.6,28.2,41.2,30.781866466677975,47.80992597412582,41.64558885789034,58.35441114210966,0.9231744355287866,30.1,1122026,24.1,35.6,0.8,36.4,80.3,9.8,0.2,9.5,30.864095271205148,26.999909273514987,73.00009072648501,71.6,21.2,70.7,68.6,54.5,16.1,65.3,67.8,59.1,42.9,16.1,63.4,21.8,60.8,27.7,8.0
13,588350,14,Jalisco,8348151,4249696,4098455,384145,431927,860338,427579,427156,5507037,999085,6193111,5765955,1067778,539033,198654,386577,179014,1485201,2673525,2344552,4186717,1748352,2438365,57337,2452519,4149528,1213421,244435,7448776,396295,21564,417243,2330706,794181,8303823,2643040,5660783,2960158,2332218,3.56,0.93,573478,2305305,2296611,1797553,903638,2294184,2294972,2207380,1933460,604756,2201888,1034977,2134429,1437473,573528,50.9,49.1,4.6,5.2,10.3,5.1,5.1,66.0,12.0,12.8,50.5,18.6,4.6,2.9,24.0,46.4,28.084686058026502,50.15142874152612,41.75949795508032,58.24050204491968,0.686822746737571,29.4,1457856,49.7,14.5,2.9,17.5,89.2,4.7,0.3,5.0,34.07469667989013,31.829194817856788,68.17080518214321,78.8,19.4,77.9,77.6,60.7,30.5,77.5,77.5,74.6,65.3,20.4,74.4,35.0,72.1,48.6,19.4
14,695955,15,México,16992418,8741123,8251295,724133,834611,1682600,880723,887192,11603770,1919454,12862124,11974932,5190562,2746909,433992,756531,372454,3358430,5814269,5162516,8364273,3495702,4868571,180143,5672574,5983389,3449337,276048,13363922,1344725,61487,2163910,4568635,1463108,16943520,4947702,11995818,5403492,4569533,3.71,0.95,1416182,4543258,4439141,3552310,1763040,4403138,4440083,3913160,3308629,1186929,4308399,1851854,4049493,2561525,822048,51.4,48.6,4.3,4.9,9.9,5.2,5.2,68.3,11.3,30.5,52.9,8.4,4.5,2.9,26.1,48.6,30.381291232360223,49.22355958993005,41.79325567207096,58.20674432792904,1.0601375272194928,33.4,3725385,35.2,20.3,1.6,21.9,78.6,7.9,0.4,12.7,32.02505781267271,29.201145924813734,70.79885407518627,84.6,26.2,84.1,82.2,65.7,32.6,81.5,82.2,72.4,61.2,22.0,79.7,34.3,74.9,47.4,15.2
