NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PROM_OCUP,PRO_OCUP_C
Moroleón-Uriangato,108755,56421,52334,4310,4525,9503,5122,5326,73461,16623,85295,79969,8083,4083,844,4958,4766,19922,24508,31470,57740,25905,31835,891,23613,15035,63169,1361,98135,4953,81,5505,31621,11480,108659,37406,71253,42775,31635,6,0,9033,31524,31356,29790,13924,31245,31379,30389,26675,11400,30351,10355,26664,14312,3485,2611,2001,639,1167,3.0,0.0
Mérida,1316088,677388,638700,49802,58143,115139,58887,60705,916054,167870,1031242,970537,223031,116010,80008,72652,28621,216291,551245,394784,683372,294328,389044,9342,295114,739034,146068,52357,995537,176841,2757,135478,392419,134734,1313792,423632,890160,485739,392597,34,9,128445,389869,388032,337479,78404,381787,380733,367525,315343,120235,371108,196104,369294,255730,114861,36439,31168,10341,14199,3.1,0.8
Nogales,264782,132522,132260,11700,13830,29326,15464,14510,181090,21032,194383,179873,65709,32654,10440,9328,1928,59818,94050,72196,133861,56254,77607,2255,47264,168266,25355,7162,178047,39392,217,46456,78358,28048,263110,92410,170700,90150,78396,3,0,20539,77788,74798,59879,6722,77558,77518,75296,65122,4184,74094,36200,74826,55551,21989,4121,4202,1506,1553,3.0,0.0
Nuevo Laredo,425058,215616,209442,19573,23199,46885,23316,22714,283982,42464,311814,289100,123586,64692,12832,19082,6417,86572,132035,125838,205215,82426,122789,3405,111510,234858,50327,7497,293922,72396,359,57544,120296,38422,423829,127064,296765,143080,120335,3,0,35279,119687,119394,27656,5307,119126,119404,116060,101964,14804,114983,47667,110558,70540,25965,8616,8798,3002,3342,3.0,0.0
Oaxaca,709361,375752,333609,29131,35091,68076,34885,35197,481764,84348,538639,503442,54357,29146,16880,33173,16148,106807,284756,196343,368746,174430,194316,6144,261184,202909,144514,5933,519822,105608,1040,78678,193539,71769,706558,241693,464865,246856,193650,70,13,59055,190437,174069,172443,77886,180019,185953,168062,123933,42816,170529,89799,179794,113507,31822,15499,14571,4697,7433,3.0,0.6
Ocotlán,184603,93984,90619,10220,10673,21290,10236,10065,117035,21733,132073,122008,12408,6162,3039,9925,5268,32628,44824,53329,87166,35403,51763,1207,49721,95587,32198,1566,172800,6836,95,4639,47706,15757,184039,57289,126750,60467,47734,10,2,13450,47383,46916,38401,17586,47082,47204,44484,37409,23199,44691,16364,42373,25531,7383,5017,4080,1512,2009,3.3,0.7
Orizaba,465175,245492,219683,19012,21861,46689,23833,24689,308053,65949,353720,329031,30691,17168,7036,24229,22144,67479,158599,158400,213425,90039,123386,5019,128409,189186,114157,7998,391391,53658,384,19409,131762,47425,464602,152433,312169,155016,131802,44,9,48082,130741,127027,87890,25871,122250,126286,103691,81787,30356,119615,44347,112266,61153,18729,11096,10532,3796,6219,3.4,0.7
Pachuca,665929,348217,317712,23397,30035,61002,32570,33670,465233,78116,516227,482557,171455,91403,48232,32986,10699,118874,287784,196574,343617,156042,187575,7518,215050,238571,102762,10372,491172,74853,1989,94131,199376,70533,663190,211658,451532,287173,199430,21,0,44881,197723,194348,173627,64229,195707,196705,180234,148576,34587,187691,101553,187209,125243,49278,14084,15838,4093,7098,3.0,0.0
Piedras Negras,209456,104146,105310,10795,12061,22759,11118,10872,139642,20248,152423,141551,27261,13225,4911,8120,2241,51231,59530,64871,95815,37451,58364,2004,40505,143658,12112,3490,132444,42770,101,33542,61077,16606,207994,52299,155695,73760,61111,6,0,17043,60750,60660,11758,1301,60414,60540,59500,54720,13356,58707,25915,57066,38934,14243,3913,3360,1394,1617,3.0,0.0
Poza Rica,521530,273353,248177,20350,24281,51181,25555,26291,341806,81782,399985,373694,47890,25487,8964,32279,24949,80964,170468,169069,251040,104407,146633,4130,149147,133588,154480,4960,352614,98505,333,69411,151821,53602,520599,169040,351559,183859,151851,15,3,56535,149118,125362,97008,28815,125826,132569,131778,102397,11791,134572,42594,127267,67874,17323,14968,14717,5635,8147,3.0,0.6
Puebla-Tlaxcala,3199530,1660200,1539330,141970,158768,309350,159344,165283,2183427,360009,2424455,2259172,436806,238097,97596,118887,67085,518335,1211387,968820,1575166,671904,903262,34363,988985,1127381,771340,77822,2658382,259065,6611,265796,859166,285606,3191095,963036,2228059,1049064,859413,145,27,227651,853745,832828,684841,491121,842370,847066,735566,604519,252334,804955,372519,777109,491886,179643,53728,52086,18528,28459,3.7,0.7
Puerto Vallarta,479471,238990,240481,24513,25580,51123,24925,23523,325720,42157,352976,329453,202912,100703,44151,20702,7856,88209,162812,110592,263212,113710,149502,2860,131647,271669,51020,10052,358099,49899,938,69037,141781,48036,478101,157647,320454,199925,141841,6,2,48595,140759,139800,83652,22582,140510,140661,132588,106384,25995,127323,60877,134531,90121,38258,9759,8940,3309,3618,3.0,1.0
Querétaro,1594212,813213,780999,68215,76352,148782,74113,74214,1116435,160986,1221357,1147143,561597,286756,166200,60576,29297,277265,673977,429822,846426,368266,478160,16180,321356,867236,268825,81242,1325660,99122,3494,157583,463744,155556,1589407,494704,1094703,560417,463946,15,2,110974,460644,455679,368188,95237,457173,457945,438674,374331,73217,439086,263323,436269,353149,163547,28581,26735,8372,12468,3.0,0.4
Reynosa,837251,420769,416482,40160,44033,89547,44719,41224,568866,73008,616344,575120,252044,129449,33225,32381,12906,173984,266958,227167,425415,174577,250838,6909,177786,471296,118904,17751,512250,155490,895,164650,255108,79907,835073,245985,589088,323522,255155,6,1,84896,253453,252808,92304,12140,248530,249924,242396,203542,30536,237436,84952,237933,133008,40799,14653,14966,5976,6100,3.0,0.5
Rioverde,146049,75563,70486,7303,7601,15916,7918,7663,91829,21102,107304,99641,10574,5548,2685,8776,6887,32660,33139,44429,69511,27270,42241,709,29109,29176,75238,2787,128350,9135,96,8368,39939,12744,145621,42185,103436,52745,39956,6,1,12384,39258,37732,30391,5098,33836,37235,35923,32781,22741,36028,11102,34214,16518,4029,4457,3470,1323,2029,3.0,0.5
Saltillo,1031779,516310,515469,53433,60314,106681,50968,51030,692628,100207,757499,706469,164558,80673,37484,33497,10390,222227,374082,309112,487532,190818,296714,10461,170636,720273,36181,38539,814722,118498,833,93306,285607,79500,1028158,261911,766247,326087,285699,9,0,59392,284111,281915,249105,39812,281399,282360,276524,254702,21072,273982,134745,263757,187701,76656,14737,14347,5470,7069,3.0,0.0
San Francisco del Rincón,214713,109397,105316,12296,12468,25009,11960,12097,139028,19887,152604,140507,18120,9307,2923,11331,7210,37618,36267,51699,111233,46191,65042,1084,50806,62173,91642,3194,196278,10270,117,7368,52076,16039,214270,62535,151735,62617,52098,8,2,13430,51701,51192,40963,7100,50754,50877,47350,44356,29610,49073,14864,45312,20391,5513,5271,4947,1651,2121,4.0,1.0
San Luis Potosí,1271366,655110,616256,53465,61993,121142,62028,64320,877589,141573,971344,907024,153999,79833,34804,50996,18688,225936,520806,362776,655582,288358,367224,12302,219589,766576,158531,53223,1096017,76510,1842,92828,357576,121388,1267156,399313,867843,417565,357777,10,1,70722,355752,351368,304687,248993,352838,353322,340780,307918,104181,343117,183990,330407,236114,105793,23887,21998,7217,10584,3.3,0.3
Tampico,773285,399974,373311,28473,34048,70674,36025,36281,528086,111011,602307,566026,177525,95939,27096,39891,11042,121893,329741,256986,369089,157581,211508,10356,157450,377892,114995,14046,570633,118787,530,80042,240386,80750,771503,236068,535435,293294,240442,9,0,77137,238472,237338,110753,9546,234606,235600,225879,198522,27031,225381,105758,225120,156952,62450,19183,17463,5920,8143,3.0,0.0
Tapachula,353706,182096,171610,20233,19971,38338,18916,18676,227836,37919,253411,234735,16419,7983,5368,16426,17407,53535,104556,104275,162204,68212,93992,4012,150537,102284,60685,2545,167204,106993,407,75711,96211,33731,350322,115924,234398,121813,96307,3,1,38543,94335,87887,43964,21062,92803,93593,78994,52498,12170,83780,23536,83419,31777,8078,7023,6885,3404,3518,3.0,1.0
Tecomán,143931,72162,71769,6565,7500,16531,7823,7527,93664,17099,105331,97804,34810,17478,5981,9306,7704,27527,30221,37180,74637,29946,44691,934,23345,53458,60847,934,118314,13813,56,11496,41225,14087,143572,48465,95107,51350,41256,6,2,15819,40760,40490,22454,10095,40745,40814,36472,27028,13215,35912,9108,36207,14097,3138,4645,4293,1428,1847,3.0,1.0
Tehuacán,357621,188541,169080,17966,19398,38558,19823,20728,239727,33766,261820,241092,55173,30549,10959,17309,13527,54941,104661,91133,187134,86348,100786,2636,123980,110665,98078,3053,284109,43747,427,28745,92770,33660,356428,121544,234884,113246,92797,7,2,32101,91962,90037,65928,47205,88109,90978,74909,53100,29120,83108,31847,84070,46096,10700,7562,8053,2548,3688,3.5,1.0
Tehuantepec,179870,92930,86940,7779,9167,18285,9418,9324,118835,24247,135071,125747,17234,8686,4891,10574,10347,29926,54026,55210,86465,38682,47783,2253,43290,36220,61208,784,119017,34108,144,26305,52494,17326,179456,54014,125442,67800,52511,15,5,24695,51422,48078,37442,17009,50923,50744,44991,33764,8181,44126,14505,45058,22375,4285,5555,4527,1537,2114,3.0,1.0
Tepic,491153,252339,238814,20941,24498,50060,25155,24905,329355,60171,369926,345021,70914,35560,15678,25418,8074,79159,205351,139063,250002,113476,136526,3600,105149,231035,67712,7102,409316,41110,923,38749,144850,51937,485902,160125,325777,180342,144964,6,0,35750,143715,143021,120579,70723,143002,143375,135630,112891,19847,136434,71653,134947,94242,38683,11640,10750,3465,4749,3.0,0.0
Teziutlán,138806,73225,65581,7019,7485,15688,7738,8130,91471,13840,100856,92726,12446,7216,3208,5388,5669,22331,38151,37077,70700,31688,39012,627,48062,39116,41808,1654,116917,10168,169,11458,36136,12806,138419,44091,94328,43438,36145,7,1,13519,35842,35616,25296,8502,34146,34831,25398,18931,1754,33552,10009,31701,11994,2963,2289,2324,925,1300,3.5,0.5
Tianguistenco,183281,94446,88835,9577,10201,20302,10130,10292,121494,17561,133029,122737,13305,7317,2706,6663,3842,40804,51142,48370,93111,39350,53761,1347,62158,37294,68803,1060,161296,9415,202,12172,42779,12101,183254,47759,135495,51189,42788,23,6,13023,42482,41912,32140,9529,40866,41675,29503,26497,12770,39410,12508,35337,19083,4169,2771,3176,1006,1509,3.8,1.0
Tijuana,2157853,1067597,1090256,85991,100809,210171,107159,104862,1522246,195109,1646758,1541896,950489,477744,143132,80730,25011,419072,751176,567494,1156588,482868,673720,14761,536689,1171269,237171,79274,1336539,352159,3951,450634,645957,220033,2139730,711526,1428204,728205,646322,9,0,189699,638909,631532,46063,50790,631826,634430,614586,526506,59956,605999,332561,609597,469164,224855,36328,36151,13373,14510,3.0,0.0
Tlaxcala-Apizaco,570308,295693,274615,23408,26885,55495,28719,29523,372428,64333,415938,386415,94106,51592,19575,22791,8878,105253,209725,167134,269423,116621,152802,7035,145340,169149,168661,7950,458881,40502,868,49191,152525,49624,568700,166298,402402,192172,152573,63,7,38945,146745,146460,130362,41616,143958,145236,121609,93809,39496,137633,55601,131964,70910,17901,10003,10662,3284,5451,3.3,0.4
Toluca,2353924,1209745,1144179,105941,118423,243171,126103,126046,1604696,236325,1758168,1632122,281479,151393,50524,81819,54883,458520,823337,718038,1136006,467407,668599,26339,801702,828394,411197,37503,2026661,156922,3695,161415,596909,169243,2346173,586753,1759420,727661,597044,59,8,147472,593079,584031,452696,178436,575255,582198,475028,392728,181423,561514,244791,525067,315420,113336,35170,37084,12845,19047,3.7,0.5
Tula,256795,132102,124693,10737,12784,26448,13347,13441,174157,28728,193340,179899,70049,36784,23460,12318,5163,56646,81918,81183,121642,49855,71787,3369,74496,96969,56345,2646,208262,22097,673,25374,71749,21853,256088,70191,185897,104620,71769,16,2,17832,71144,70284,56999,16374,69836,70369,62396,49754,19054,66730,25097,63877,31978,9066,5494,5672,1585,2807,3.2,0.4
Tulancingo,268351,141072,127279,12691,13553,28692,14744,14766,177875,30728,198534,183768,40400,22289,8045,11492,10685,54299,73372,76515,134319,59348,74971,1893,115038,62623,72638,1923,220149,22020,397,25500,73173,25032,267454,82223,185231,94561,73209,9,1,21820,72680,70900,65391,21015,70071,71286,62126,47314,18975,67882,21725,65698,32929,8774,5224,4944,1854,2499,3.0,0.3
Tuxtla Gutiérrez,848274,440042,408232,40995,46039,88506,42704,42880,570269,86837,627450,584570,47129,23869,12412,33484,34128,115589,310623,246887,411867,177237,234630,9762,345970,225376,155858,17451,558349,186941,569,98767,228834,78847,846364,271769,574595,292865,228908,16,5,79401,226716,212492,188464,130982,224807,225927,203300,156129,17135,209972,86734,208239,116080,32979,16392,14423,5793,7048,3.2,1.0
Valle de México,21045378,10883565,10161813,744423,890424,1825997,967927,987415,14703258,2845512,16601846,15614431,6451303,3447749,690899,1036069,297277,3826715,8790848,6470046,10814775,4704585,6110190,243193,6591585,8517710,3028995,620547,15898460,1660345,109915,3304370,6011260,2160621,20960220,6964343,13995877,6854181,6012935,231,35,1843981,5989480,5899506,4876533,3057829,5954101,5965425,5491975,4800115,1465054,5752380,3046422,5469002,4053059,1568474,478483,472458,133881,230017,3.1,0.5
Veracruz,939046,492617,446429,29113,37198,79568,40324,41211,656544,139857,751681,710470,101027,52652,21260,48699,22158,149669,386216,298635,480764,211326,269438,10916,259687,459640,112942,17175,683692,136841,1779,114220,312801,124921,936741,356601,580140,423759,312891,17,0,112590,311195,308156,207070,55319,309212,309100,292544,254428,34762,290523,126425,289184,189950,73026,23517,21894,7474,10364,2.8,0.0
Villahermosa,833907,430933,402974,35382,41542,84453,41677,40486,570811,91357,630223,589737,102420,52482,15239,46793,21356,130775,340332,243706,415744,179541,236203,10692,255871,256631,158120,16098,538985,211160,509,80985,239645,81561,831274,260185,571089,300042,239690,6,2,86549,238651,236040,144185,42628,237143,237400,220899,196741,26047,219071,93606,218385,126465,44491,22506,22806,7131,8825,3.0,1.0
Xalapa,789157,417651,371506,27864,34419,72054,36955,38866,543682,108578,617357,578491,61114,32950,13314,39193,23405,108828,322346,246476,397758,179407,218351,8807,221418,299932,187127,11533,624013,71833,1231,90720,238348,96306,787506,295520,491986,306570,238419,27,4,82837,236471,234534,191242,45572,233410,235489,207894,166420,18083,219419,111619,216679,148581,55854,17204,17914,5462,8833,3.0,0.4
Zacatecas-Guadalupe,405285,209262,196023,19293,21942,42983,20815,21045,273490,40547,299395,278350,41604,20813,10261,21191,5168,73377,156349,124032,190531,81971,108560,4415,67699,208002,78723,2763,365283,19806,365,18550,113771,36229,402979,114048,288931,146663,113827,16,1,23809,113204,111995,108315,24300,112428,112633,106928,99873,16500,109223,58195,105863,78065,28443,9429,9980,2668,3984,3.2,0.2
Zamora,273641,141483,132158,13748,15475,30854,15073,14368,175946,32588,198417,184049,20569,10405,4469,14226,12889,37064,65326,72850,138249,59635,78614,1575,97523,115140,41308,5242,242580,16639,203,13785,76204,25149,272732,84066,188666,97510,76259,6,1,21098,75870,74941,61677,23284,75345,75607,69871,58749,30106,72357,26343,67489,42444,11756,7258,6197,2055,2960,3.0,0.5
