,NOM_ZM,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,PROM_OCUP,PRO_OCUP_C,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,POB_AFRO_%,VPH_1CUART_%,PHOG_IND_%
35,Morelia,51.8,48.2,4.3,4.8,9.7,4.9,4.9,67.7,71.2,12.3,11.9,51.3,22.5,4.9,3.0,19.9,54.7,28.6,50.9,44.5,55.5,1.0,32.9,150765,42.6,13.8,1.5,15.2,83.3,6.4,0.2,9.5,35.6,64.4,32.7,67.3,74.5,24.5,99.5,97.3,90.2,44.7,98.0,98.7,94.1,79.7,15.1,94.4,48.2,93.5,63.4,23.3,99.1,3.0,0.7,46.9,43.3,13.4,21.4,0.6,0.0,0.6,1.9,2.9,1.3
36,Moroleón-Uriangato,51.9,48.1,4.0,4.2,8.7,4.7,4.9,67.5,73.5,15.3,7.4,50.5,10.4,4.6,5.6,23.4,30.6,28.9,53.1,44.9,55.1,0.8,21.7,64530,13.8,58.1,1.3,59.3,90.2,4.6,0.1,5.1,36.3,63.7,34.4,65.6,74.0,28.6,99.7,99.2,94.2,44.0,98.8,99.2,96.1,84.4,36.1,96.0,32.7,84.3,45.3,11.0,99.9,3.0,0.0,52.7,40.4,12.9,23.5,0.1,0.0,0.1,0.6,2.0,0.3
37,Mérida,51.5,48.5,3.8,4.4,8.7,4.5,4.6,69.6,73.7,12.8,16.9,52.0,35.9,5.5,2.8,21.0,56.8,30.0,51.9,43.1,56.9,0.7,22.4,198425,56.2,11.1,4.0,15.1,75.6,13.4,0.2,10.3,34.3,65.7,32.2,67.8,80.8,32.7,99.4,98.9,86.0,20.0,97.3,97.0,93.7,80.4,30.6,94.6,50.0,94.1,65.2,29.3,99.8,3.1,0.8,50.2,42.9,14.2,19.5,9.2,0.1,9.0,2.7,5.1,22.3
38,Nogales,50.0,50.0,4.4,5.2,11.1,5.8,5.5,68.4,67.9,7.9,24.8,49.7,15.9,3.5,1.0,30.8,52.3,27.3,50.6,42.0,58.0,0.9,17.9,32517,63.5,9.6,2.7,12.3,67.2,14.9,0.1,17.5,35.8,64.2,35.1,64.9,87.0,26.2,99.3,95.5,76.4,8.6,99.0,98.9,96.1,83.1,5.3,94.6,46.2,95.5,70.9,28.1,99.4,3.0,0.0,44.2,45.0,16.1,16.6,0.7,0.0,0.7,1.2,3.7,1.9
39,Nuevo Laredo,50.7,49.3,4.6,5.5,11.0,5.5,5.3,66.8,68.0,10.0,29.1,52.3,10.4,4.5,2.1,27.8,45.7,29.6,48.3,40.2,59.8,0.8,26.2,57824,55.3,11.8,1.8,13.6,69.1,17.0,0.1,13.5,31.9,68.1,30.0,70.0,84.1,29.3,99.5,99.3,23.0,4.4,99.0,99.3,96.5,84.8,12.3,95.6,39.6,91.9,58.6,21.6,99.7,3.0,0.0,45.2,46.1,15.7,17.5,0.4,0.0,0.4,1.1,2.8,1.2
40,Oaxaca,53.0,47.0,4.1,4.9,9.6,4.9,5.0,67.9,71.0,11.9,7.7,53.6,31.1,4.7,3.0,19.8,56.6,27.7,52.0,47.3,52.7,0.9,36.8,150447,28.6,20.4,0.8,21.2,73.3,14.9,0.1,11.1,37.1,62.9,34.2,65.8,78.4,30.5,98.4,89.9,89.1,40.2,93.0,96.1,86.8,64.0,22.1,88.1,46.4,92.9,58.6,16.4,99.6,3.0,0.6,46.7,43.9,14.2,22.4,8.5,0.1,8.3,3.2,9.4,19.5
41,Ocotlán,50.9,49.1,5.5,5.8,11.5,5.5,5.5,63.4,66.1,11.8,6.7,49.7,24.5,5.4,4.0,24.7,36.7,28.9,47.2,40.6,59.4,0.7,26.9,33764,51.8,17.4,0.8,18.3,93.6,3.7,0.1,2.5,33.0,67.0,31.1,68.9,78.9,28.2,99.3,98.3,80.5,36.9,98.7,98.9,93.2,78.4,48.6,93.7,34.3,88.8,53.5,15.5,99.7,3.3,0.7,50.5,41.1,15.2,20.2,0.2,0.0,0.2,1.3,3.3,0.3
42,Orizaba,52.8,47.2,4.1,4.7,10.0,5.1,5.3,66.2,70.7,14.2,6.6,55.9,22.9,5.2,6.3,19.1,48.2,34.1,45.9,42.2,57.8,1.1,27.6,122155,40.7,24.5,1.7,26.3,84.1,11.5,0.1,4.2,36.0,64.0,32.8,67.2,85.0,36.5,99.2,96.4,66.7,19.6,92.8,95.8,78.7,62.1,23.0,90.8,33.7,85.2,46.4,14.2,99.9,3.4,0.7,45.8,43.5,15.7,25.7,7.9,0.3,7.5,1.7,9.9,13.2
43,Pachuca,52.3,47.7,3.5,4.5,9.2,4.9,5.1,69.9,72.5,11.7,25.7,53.3,28.1,5.0,2.1,23.0,59.6,29.5,51.6,45.4,54.6,1.1,32.3,113134,35.8,15.4,1.6,17.0,73.8,11.2,0.3,14.1,35.4,64.6,31.9,68.1,69.4,22.5,99.2,97.5,87.1,32.2,98.2,98.7,90.4,74.5,17.3,94.1,50.9,93.9,62.8,24.7,99.6,3.0,0.0,42.7,48.0,12.4,21.5,2.4,0.0,2.3,2.0,2.4,5.9
44,Piedras Negras,49.7,50.3,5.2,5.8,10.9,5.3,5.2,66.7,67.6,9.7,13.0,48.5,18.0,3.9,1.5,33.6,42.1,31.0,45.7,39.1,60.9,1.0,19.3,15602,68.6,5.8,1.7,7.4,63.2,20.4,0.0,16.0,27.2,72.8,25.1,74.9,82.9,27.9,99.5,99.3,19.3,2.1,98.9,99.1,97.4,89.6,21.9,96.1,42.4,93.4,63.7,23.3,99.3,3.0,0.0,48.2,41.4,17.2,19.9,0.1,0.0,0.1,0.8,2.1,0.3
45,Poza Rica,52.4,47.6,3.9,4.7,9.8,4.9,5.0,65.5,71.7,15.7,9.2,53.2,18.7,6.2,6.2,20.2,45.6,32.4,48.1,41.6,58.4,0.8,28.6,159440,25.6,29.6,1.0,30.6,67.6,18.9,0.1,13.3,35.3,64.7,32.5,67.5,82.6,37.2,98.2,82.6,63.9,19.0,82.9,87.3,86.8,67.4,7.8,88.6,28.1,83.8,44.7,11.4,99.8,3.0,0.6,46.4,45.6,17.5,25.2,8.1,0.2,7.9,1.5,12.6,16.5
46,Puebla-Tlaxcala,51.9,48.1,4.4,5.0,9.7,5.0,5.2,68.2,70.6,11.3,13.7,54.5,22.3,3.7,2.8,21.4,53.6,30.3,49.2,42.7,57.3,1.1,30.9,849162,35.2,24.1,2.4,26.5,83.1,8.1,0.2,8.3,33.2,66.8,30.2,69.8,81.9,26.5,99.4,96.9,79.7,57.2,98.0,98.6,85.6,70.4,29.4,93.7,43.4,90.4,57.3,20.9,99.7,3.7,0.7,45.2,43.8,15.6,23.9,2.6,0.0,2.6,2.1,4.1,6.2
47,Puerto Vallarta,49.8,50.2,5.1,5.3,10.7,5.2,4.9,67.9,68.7,8.8,42.3,49.6,21.8,4.3,2.2,25.0,49.4,23.1,54.9,43.2,56.8,0.6,27.5,61072,56.7,10.6,2.1,12.7,74.7,10.4,0.2,14.4,33.9,66.1,33.0,67.0,70.9,34.3,99.3,98.6,59.0,15.9,99.1,99.2,93.5,75.0,18.3,89.8,42.9,94.9,63.6,27.0,99.7,3.0,1.0,47.1,43.2,16.0,17.5,1.0,0.0,1.0,1.7,8.5,2.3
48,Querétaro,51.0,49.0,4.3,4.8,9.3,4.6,4.7,70.0,72.0,10.1,35.2,51.1,29.6,3.8,2.4,22.7,58.8,27.0,53.1,43.5,56.5,1.0,20.2,350067,54.4,16.9,5.1,22.0,83.2,6.2,0.2,9.9,33.5,66.5,31.1,68.9,82.8,23.9,99.3,98.3,79.4,20.5,98.6,98.7,94.6,80.7,15.8,94.7,56.8,94.1,76.2,35.3,99.7,3.0,0.4,47.2,44.1,13.8,20.6,0.6,0.0,0.6,2.1,3.1,1.4
49,Reynosa,50.3,49.7,4.8,5.3,10.7,5.3,4.9,67.9,68.7,8.7,30.1,51.4,13.2,3.9,2.1,28.2,46.4,27.1,50.8,41.0,59.0,0.8,21.2,136655,56.3,14.2,2.1,16.3,61.2,18.6,0.1,19.7,31.3,68.7,29.5,70.5,78.9,33.3,99.4,99.1,36.2,4.8,97.4,98.0,95.0,79.8,12.0,93.1,33.3,93.3,52.1,16.0,99.7,3.0,0.5,45.3,46.2,18.5,18.8,0.8,0.0,0.8,1.5,3.4,2.1
50,Rioverde,51.7,48.3,5.0,5.2,10.9,5.4,5.2,62.9,68.2,14.4,7.2,52.5,25.4,6.0,6.4,30.4,33.3,30.4,47.6,39.2,60.8,0.5,19.9,78025,20.0,51.5,1.9,53.4,87.9,6.3,0.1,5.7,31.9,68.1,29.0,71.0,75.8,31.0,98.3,94.5,76.1,12.8,84.7,93.2,89.9,82.1,56.9,90.2,27.8,85.7,41.4,10.1,99.7,3.0,0.5,50.8,39.5,15.1,23.1,0.4,0.0,0.4,0.9,4.0,0.9
51,Saltillo,50.0,50.0,5.2,5.8,10.3,4.9,4.9,67.1,68.5,9.7,15.9,49.0,22.8,3.2,1.4,29.3,53.0,30.0,47.3,39.1,60.9,1.0,16.5,74720,69.8,3.5,3.7,7.2,79.0,11.5,0.1,9.0,27.8,72.2,25.5,74.5,87.6,20.8,99.5,98.7,87.2,13.9,98.5,98.9,96.8,89.2,7.4,95.9,47.2,92.3,65.7,26.8,99.6,3.0,0.0,44.0,42.8,16.3,21.1,0.3,0.0,0.2,2.3,1.2,0.5
52,San Francisco del Rincón,51.0,49.0,5.7,5.8,11.6,5.6,5.6,64.8,65.4,9.3,8.4,51.4,16.1,5.3,4.7,24.7,25.8,24.1,51.8,41.5,58.5,0.5,23.7,94836,29.0,42.7,1.5,44.2,91.4,4.8,0.1,3.4,30.8,69.2,29.2,70.8,83.2,25.8,99.3,98.3,78.7,13.6,97.5,97.7,90.9,85.2,56.9,94.2,28.5,87.0,39.2,10.6,99.8,4.0,1.0,46.5,43.7,14.6,18.7,0.2,0.0,0.2,1.4,3.8,0.4
53,San Luis Potosí,51.5,48.5,4.2,4.9,9.5,4.9,5.1,69.0,71.3,11.1,12.1,51.8,22.6,4.0,1.9,23.3,57.4,28.5,51.6,44.0,56.0,1.0,17.3,211754,60.3,12.5,4.2,16.7,86.2,6.0,0.1,7.3,33.9,66.1,31.5,68.5,85.7,19.8,99.5,98.3,85.2,69.6,98.7,98.8,95.3,86.1,29.1,96.0,51.5,92.4,66.0,29.6,99.7,3.3,0.3,46.8,43.1,14.2,20.8,0.5,0.0,0.5,2.6,1.2,1.2
54,Tampico,51.7,48.3,3.7,4.4,9.1,4.7,4.7,68.3,73.2,14.4,23.0,54.0,15.3,5.2,1.8,20.2,58.3,33.2,47.7,42.7,57.3,1.3,20.4,129041,48.9,14.9,1.8,16.7,73.8,15.4,0.1,10.4,33.6,66.4,30.6,69.4,82.0,32.1,99.2,98.7,46.1,4.0,97.6,98.0,94.0,82.6,11.2,93.8,44.0,93.6,65.3,26.0,99.8,3.0,0.0,48.1,43.8,14.8,20.4,1.0,0.0,1.0,1.3,4.9,2.5
55,Tapachula,51.5,48.5,5.7,5.6,10.8,5.3,5.3,64.4,66.4,10.7,4.6,48.6,32.7,4.6,6.9,21.1,44.5,29.5,45.9,42.1,57.9,1.1,42.6,63230,28.9,17.2,0.7,17.9,47.3,30.2,0.1,21.4,35.1,64.9,33.1,66.9,79.1,40.1,98.1,91.3,45.7,21.9,96.5,97.3,82.1,54.6,12.6,87.1,24.5,86.7,33.0,8.4,99.0,3.0,1.0,42.8,41.9,20.7,21.4,1.0,0.0,0.9,1.2,15.8,2.4
56,Tecomán,50.1,49.9,4.6,5.2,11.5,5.4,5.2,65.1,68.0,11.9,24.2,50.2,17.2,6.5,7.3,26.1,30.9,25.8,51.9,40.1,59.9,0.6,16.2,61781,37.1,42.3,0.6,42.9,82.2,9.6,0.0,8.0,34.2,65.8,33.8,66.2,80.3,38.4,98.9,98.2,54.5,24.5,98.8,99.0,88.5,65.6,32.1,87.1,22.1,87.8,34.2,7.6,99.8,3.0,1.0,49.9,46.1,15.3,19.8,1.3,0.1,1.2,2.1,8.6,2.2
57,Tehuacán,52.7,47.3,5.0,5.4,10.8,5.5,5.8,67.0,67.4,9.4,15.4,55.4,19.9,4.8,5.2,21.0,43.4,25.5,52.3,46.1,53.9,0.7,34.7,101131,30.9,27.4,0.9,28.3,79.4,12.2,0.1,8.0,36.3,63.7,34.1,65.9,81.9,34.6,99.1,97.1,71.1,50.9,95.0,98.1,80.7,57.2,31.4,89.6,34.3,90.6,49.7,11.5,99.7,3.5,1.0,43.7,46.5,14.7,21.3,8.2,0.1,8.0,1.4,8.7,20.3
58,Tehuantepec,51.7,48.3,4.3,5.1,10.2,5.2,5.2,66.1,69.9,13.5,9.6,50.4,28.4,5.9,7.7,22.2,43.0,30.7,48.1,44.7,55.3,1.3,24.1,61992,20.1,34.0,0.4,34.5,66.2,19.0,0.1,14.6,33.0,67.0,30.1,69.9,77.4,47.0,98.0,91.6,71.3,32.4,97.0,96.7,85.7,64.3,15.6,84.1,27.6,85.8,42.6,8.2,99.8,3.0,1.0,52.5,42.8,14.5,20.0,14.5,0.9,13.6,1.5,15.0,24.5
59,Tepic,51.4,48.6,4.3,5.0,10.2,5.1,5.1,67.1,70.2,12.3,14.4,50.1,22.1,5.2,2.2,21.4,59.5,28.3,50.9,45.4,54.6,0.7,21.4,74814,47.0,13.8,1.4,15.2,83.3,8.4,0.2,7.9,35.9,64.1,33.0,67.0,80.4,24.7,99.2,98.7,83.2,48.8,98.7,99.0,93.6,77.9,13.7,94.2,49.5,93.2,65.1,26.7,98.9,3.0,0.0,45.8,42.3,13.6,18.7,2.3,0.0,2.3,0.8,3.0,3.6
60,Teziutlán,52.8,47.2,5.1,5.4,11.3,5.6,5.9,65.9,66.8,10.0,9.0,58.0,25.8,3.9,5.6,22.1,41.1,26.7,50.9,44.8,55.2,0.5,34.6,43462,28.2,30.1,1.2,31.3,84.2,7.3,0.1,8.3,35.4,64.6,31.9,68.1,83.2,37.4,99.2,98.6,70.0,23.5,94.5,96.4,70.3,52.4,4.9,92.8,27.7,87.7,33.2,8.2,99.7,3.5,0.5,42.5,43.1,17.2,24.1,7.1,0.1,7.0,1.2,7.8,18.1
61,Tianguistenco,51.5,48.5,5.2,5.6,11.1,5.5,5.6,66.3,67.0,9.6,7.3,55.0,20.3,3.6,2.9,30.7,41.7,26.4,50.8,42.3,57.7,0.7,33.9,69863,20.3,37.5,0.6,38.1,88.0,5.1,0.1,6.6,28.3,71.7,26.1,73.9,83.6,30.4,99.3,98.0,75.1,22.3,95.5,97.4,69.0,61.9,29.9,92.1,29.2,82.6,44.6,9.7,100.0,3.8,1.0,41.6,47.7,15.1,22.6,0.8,0.0,0.8,1.2,6.2,2.3
62,Tijuana,49.5,50.5,4.0,4.7,9.7,5.0,4.9,70.5,71.5,9.0,44.0,50.3,15.1,3.7,1.5,25.4,48.7,26.3,53.6,41.7,58.3,0.7,24.9,316445,54.3,11.0,3.7,14.7,61.9,16.3,0.2,20.9,34.1,65.9,33.3,66.7,88.8,29.4,98.9,97.8,7.1,7.9,97.8,98.2,95.1,81.5,9.3,93.8,51.5,94.4,72.6,34.8,99.2,3.0,0.0,45.0,44.8,16.6,18.0,0.7,0.0,0.6,1.9,5.3,1.5
63,Tlaxcala-Apizaco,51.8,48.2,4.1,4.7,9.7,5.0,5.2,65.3,67.8,11.3,16.5,54.8,20.8,4.0,2.1,25.3,54.3,29.3,47.2,43.3,56.7,1.2,25.5,176611,29.7,29.6,1.4,31.0,80.5,7.1,0.2,8.6,32.5,67.5,29.2,70.8,79.4,25.5,96.2,96.0,85.5,27.3,94.4,95.2,79.7,61.5,25.9,90.2,36.5,86.5,46.5,11.7,99.7,3.3,0.4,43.9,46.8,14.4,23.9,2.0,0.0,2.0,1.6,3.5,5.3
64,Toluca,51.4,48.6,4.5,5.0,10.3,5.4,5.4,68.2,69.3,10.0,12.0,53.8,17.9,3.5,3.1,26.1,50.4,30.5,48.3,41.1,58.9,1.1,34.1,448700,35.2,17.5,1.6,19.1,86.1,6.7,0.2,6.9,28.4,71.6,25.0,75.0,82.0,24.7,99.4,97.8,75.8,29.9,96.4,97.5,79.6,65.8,30.4,94.1,41.0,88.0,52.8,19.0,99.7,3.7,0.5,43.0,45.3,15.7,23.3,2.6,0.0,2.6,1.6,3.2,6.8
65,Tula,51.4,48.6,4.2,5.0,10.3,5.2,5.2,67.8,70.1,11.2,27.3,52.5,33.5,4.8,2.7,29.3,45.5,31.6,47.4,41.0,59.0,1.3,29.0,58991,37.8,21.9,1.0,23.0,81.1,8.6,0.3,9.9,30.5,69.5,27.4,72.6,68.6,24.9,99.2,98.0,79.4,22.8,97.3,98.1,87.0,69.3,26.6,93.0,35.0,89.0,44.6,12.6,99.7,3.2,0.4,44.6,46.0,12.9,22.8,0.7,0.0,0.7,1.9,3.1,1.8
66,Tulancingo,52.6,47.4,4.7,5.1,10.7,5.5,5.5,66.3,68.5,11.5,15.1,55.2,19.9,4.3,5.4,27.3,39.9,28.5,50.1,44.2,55.8,0.7,42.9,74561,23.3,27.1,0.7,27.8,82.0,8.2,0.1,9.5,34.2,65.8,30.7,69.3,77.4,29.8,99.3,96.9,89.4,28.7,95.8,97.4,84.9,64.7,25.9,92.8,29.7,89.8,45.0,12.0,99.7,3.0,0.3,45.5,43.0,16.1,21.7,1.9,0.0,1.9,1.2,4.2,4.8
67,Tuxtla Gutiérrez,51.9,48.1,4.8,5.4,10.4,5.0,5.1,67.2,68.9,10.2,5.6,50.6,26.3,3.9,5.4,18.4,53.1,29.1,48.6,43.0,57.0,1.2,40.8,173309,26.6,18.4,2.1,20.4,65.8,22.0,0.1,11.6,34.5,65.5,32.1,67.9,78.2,34.7,99.1,92.9,82.4,57.2,98.2,98.7,88.8,68.2,7.5,91.8,37.9,91.0,50.7,14.4,99.8,3.2,1.0,49.0,43.1,17.3,21.0,2.4,0.1,2.4,1.3,11.8,4.8
68,Valle de México,51.7,48.3,3.5,4.2,8.6,4.6,4.7,69.9,74.3,13.6,30.2,53.5,10.8,4.9,1.8,23.0,56.4,30.7,51.5,43.6,56.4,1.2,31.1,3798951,40.7,14.3,3.1,17.4,75.7,7.8,0.5,15.6,36.0,64.0,33.3,66.7,87.9,30.7,99.6,98.2,81.1,50.2,99.1,99.3,91.5,80.1,23.8,95.7,51.1,91.0,67.8,26.5,99.6,3.1,0.5,46.3,45.5,12.9,22.3,1.5,0.0,1.4,1.9,5.2,3.7
69,Veracruz,52.5,47.5,3.1,4.0,8.5,4.3,4.4,69.9,75.7,14.9,10.8,52.1,21.0,5.2,2.9,19.9,54.4,31.8,51.2,44.0,56.0,1.2,27.7,130117,48.9,12.0,1.8,13.9,72.8,14.6,0.2,12.2,39.9,60.1,38.1,61.9,73.8,36.0,99.5,98.5,66.2,17.7,98.9,98.8,93.5,81.3,11.1,92.9,40.4,92.4,60.7,23.3,99.8,2.8,0.0,48.3,45.0,15.3,21.3,0.6,0.0,0.6,4.2,8.2,1.4
70,Villahermosa,51.7,48.3,4.2,5.0,10.1,5.0,4.9,68.5,70.7,11.0,12.3,51.2,14.9,5.6,3.4,20.8,57.7,29.2,49.9,43.2,56.8,1.3,30.7,174218,30.8,19.0,1.9,20.9,64.6,25.3,0.1,9.7,34.0,66.0,31.3,68.7,79.9,36.1,99.6,98.5,60.2,17.8,99.0,99.1,92.2,82.1,10.9,91.4,39.1,91.1,52.8,18.6,99.7,3.0,1.0,48.1,48.7,15.2,18.9,5.8,0.0,5.7,1.7,10.4,9.0
71,Xalapa,52.9,47.1,3.5,4.4,9.1,4.7,4.9,68.9,73.3,13.8,7.7,53.9,21.8,5.0,3.8,17.6,55.7,31.2,50.4,45.1,54.9,1.1,28.1,198660,38.0,23.7,1.5,25.2,79.1,9.1,0.2,11.5,40.4,59.6,37.5,62.5,77.8,34.8,99.2,98.4,80.2,19.1,97.9,98.8,87.2,69.8,7.6,92.1,46.8,90.9,62.3,23.4,99.8,3.0,0.4,43.9,45.7,13.9,22.5,0.5,0.0,0.5,3.3,8.0,1.1
72,Zacatecas-Guadalupe,51.6,48.4,4.8,5.4,10.6,5.1,5.2,67.5,68.7,10.0,10.3,50.0,24.7,5.2,1.7,24.5,56.2,30.6,47.0,43.0,57.0,1.1,16.7,81486,51.3,19.4,0.7,20.1,90.1,4.9,0.1,4.6,31.8,68.2,28.3,71.7,77.6,20.9,99.5,98.4,95.2,21.4,98.8,99.0,94.0,87.8,14.5,96.0,51.2,93.0,68.6,25.0,99.4,3.2,0.2,44.5,47.1,12.6,18.8,0.3,0.0,0.3,1.2,1.5,0.6
73,Zamora,51.7,48.3,5.0,5.7,11.3,5.5,5.3,64.3,67.3,11.9,7.5,50.6,21.7,5.2,6.5,18.7,35.5,26.6,50.5,43.1,56.9,0.6,35.6,46550,42.1,15.1,1.9,17.0,88.6,6.1,0.1,5.0,33.0,67.0,30.8,69.2,78.2,27.7,99.6,98.3,80.9,30.6,98.9,99.2,91.7,77.1,39.5,95.0,34.6,88.6,55.7,15.4,99.7,3.0,0.5,51.0,43.6,14.4,20.8,0.6,0.0,0.6,1.7,2.4,1.6
