,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,TVIVPARHAB,VIVTOT,TVIVHAB,VPH_1CUART,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,P3YM_HLI,P3HLINHE,P3HLI_HE,POB_AFRO,PHOG_IND,PROM_OCUP,PRO_OCUP_C,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,VPH_1CUART_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,PHOG_IND_%,POB_AFRO_%
23,Hidalgo del Parral,121666,62935,58731,5631,6349,12379,6099,6053,79848,16411,91101,85048,10768,5559,2517,6563,1617,21285,42233,40745,54906,22461,32445,1359,14073,61589,28473,2164,96256,12959,36,12190,35970,12962,23008,121201,40172,81029,35970,43378,35989,736,9119,35768,35713,33292,3224,35650,35674,34731,31098,2016,34305,16041,33277,21512,7587,3199,2659,872,1399,1009,11,962,1271,2172,3.0,0.0,51.7,48.3,4.6,5.2,10.2,5.0,5.0,65.6,69.9,13.5,8.9,51.6,23.4,5.4,48.7,40.5,13.3,21.3,1.8,23.4,49.7,33.5,45.1,40.9,59.1,1.1,11.6,30637,50.6,23.4,1.8,25.2,79.1,10.7,0.0,10.0,36.0,64.0,33.1,66.9,83.0,25.4,99.4,99.3,92.6,9.0,99.1,99.2,96.6,86.5,5.6,95.4,44.6,92.5,59.8,21.1,99.6,2.0,0.8,0.0,0.8,1.8,1.0
24,Juárez,1512450,755473,756977,61661,75783,158006,84852,82775,1042232,134989,1127670,1044895,410142,205031,58446,64510,15008,328216,481392,424859,773941,321981,451960,11113,281293,995662,111663,53709,990518,217017,1606,295236,449452,152263,297189,1505714,492203,1013511,449452,520392,449602,13916,131922,447215,445394,21983,4210,445733,446184,436106,395092,42892,433849,203599,422130,286079,121797,28426,30210,10133,10723,8160,53,7899,29450,18371,3.0,0.0,50.0,50.0,4.1,5.0,10.4,5.6,5.5,68.9,69.1,8.9,27.1,50.0,14.3,4.3,44.1,46.8,15.7,16.6,1.3,29.1,46.1,28.1,51.2,41.6,58.4,0.7,18.6,165372,65.8,7.4,3.6,10.9,65.5,14.3,0.1,19.5,33.9,66.1,32.7,67.3,86.4,29.4,99.5,99.1,4.9,0.9,99.2,99.3,97.0,87.9,9.5,96.5,45.3,93.9,63.7,27.1,99.6,3.1,0.5,0.0,0.5,1.2,1.9
25,La Laguna,1434283,729228,705055,71487,78395,149120,73539,74215,950766,164764,1059547,985332,218577,112902,37660,67978,17558,274570,498847,443834,669804,275655,394149,16470,317997,878030,95555,33336,1128114,171756,1178,129277,409567,130531,279036,1428980,419172,1009808,409567,496532,409721,6183,96573,407953,406938,271356,85105,402868,404318,393913,341478,108738,396005,163269,375803,223841,84283,33137,29553,9347,12406,1815,31,1721,17263,3314,3.0,0.0,50.8,49.2,5.0,5.5,10.4,5.1,5.2,66.3,68.7,11.5,15.2,51.7,17.2,4.7,48.7,43.5,13.8,18.3,1.7,25.9,50.6,30.9,46.7,41.2,58.8,1.1,22.2,128891,61.2,6.7,2.3,9.0,78.7,12.0,0.1,9.0,31.9,68.1,29.3,70.7,82.5,23.6,99.6,99.4,66.3,20.8,98.4,98.7,96.2,83.4,26.5,96.7,39.9,91.8,54.7,20.6,99.6,1.5,0.1,0.0,0.1,0.2,1.2
26,La Paz,292241,146438,145803,10882,12776,26992,13547,14005,203031,37267,227140,213135,79830,39528,15230,15395,4043,46226,127126,84914,152265,64678,87587,2565,41161,133165,51140,5587,228451,27537,512,34262,91287,31036,60251,290063,91547,198516,91287,116231,91366,4628,25232,89585,88540,81226,25704,88640,89503,85904,68316,11036,84222,49535,86795,63033,30943,7333,6985,1914,2726,3183,53,3093,6498,6447,3.0,0.0,50.1,49.9,3.7,4.4,9.2,4.6,4.8,69.5,72.9,12.8,27.3,49.5,19.1,5.3,47.6,45.4,12.4,17.7,1.8,20.4,59.6,29.1,52.1,42.5,57.5,0.9,14.1,56727,45.6,17.5,1.9,19.4,78.2,9.4,0.2,11.7,34.0,66.0,31.6,68.4,78.6,27.6,98.1,97.0,89.0,28.2,97.1,98.0,94.1,74.8,12.1,92.3,54.3,95.1,69.0,33.9,99.3,5.1,1.1,0.0,1.1,2.2,2.2
27,La Piedad-Pénjamo,261450,135552,125898,13424,14176,27963,13519,13448,167182,35000,192319,178871,35425,18634,4038,17014,13217,45759,57134,82847,120261,46469,73792,1970,65042,71916,107152,1748,237812,13955,105,9325,69166,23090,46076,260418,79971,180447,69166,93810,69189,2040,19452,68702,67785,56475,21345,65379,65585,64038,53593,14327,64840,19680,57037,27785,6666,9415,6583,2226,3324,398,4,365,3425,809,3.0,0.5,51.8,48.2,5.1,5.4,10.7,5.2,5.1,63.9,68.4,13.4,13.5,52.6,11.4,6.5,55.3,38.7,13.1,19.5,6.9,23.8,31.9,31.7,46.0,38.6,61.4,0.8,24.9,108900,27.5,41.0,0.7,41.7,91.0,5.3,0.0,3.6,33.4,66.6,30.7,69.3,73.8,28.1,99.3,98.0,81.7,30.9,94.5,94.8,92.6,77.5,20.7,93.7,28.5,82.5,40.2,9.6,99.6,2.9,0.2,0.0,0.1,0.3,1.3
28,León,1924771,978025,946746,96999,104979,203072,102200,103946,1292529,183913,1413289,1309343,184912,93035,39690,84613,50028,401566,551396,516850,974718,406556,568162,19318,410959,1010672,379913,46018,1740550,77941,2408,95689,487264,153418,333846,1919833,573078,1346755,487264,568823,487495,10782,104853,484158,467189,401285,168946,481015,480517,455411,411298,156482,465899,206228,445102,279724,108557,38949,37106,12748,16257,3826,69,3194,50295,7535,3.5,1.0,50.8,49.2,5.0,5.5,10.6,5.3,5.4,67.2,68.0,9.6,9.6,50.3,21.5,4.4,46.0,43.9,15.1,19.2,3.5,28.4,42.1,26.9,50.6,41.7,58.3,1.0,21.4,425931,52.5,19.7,2.4,22.1,90.4,4.0,0.1,5.0,31.5,68.5,29.9,70.1,85.7,21.5,99.4,95.9,82.4,34.7,98.7,98.6,93.5,84.4,32.1,95.6,42.3,91.3,57.4,22.3,99.7,2.2,0.2,0.0,0.2,0.4,2.6
29,Matamoros,541979,274081,267898,24460,28314,56263,28433,27941,368765,54690,403834,375893,110918,58090,12125,27446,8837,110241,174553,157450,267394,110611,156783,6627,131752,289064,81988,9370,336538,112136,358,91827,159564,51092,108472,540093,161483,378610,159564,195499,159609,7738,52212,157814,155372,58905,19331,151909,152821,149691,110681,27289,149471,55715,148769,90738,30233,12311,12885,4091,4838,4114,20,4071,7029,11408,3.0,0.0,50.6,49.4,4.5,5.2,10.4,5.2,5.2,68.0,69.4,10.1,20.5,52.4,10.9,5.1,44.9,46.9,14.9,17.6,2.2,27.3,46.4,29.1,49.3,41.4,58.6,1.2,24.3,91358,53.3,15.1,1.7,16.9,62.1,20.7,0.1,16.9,32.0,68.0,29.9,70.1,81.6,32.7,98.9,97.4,36.9,12.1,95.2,95.8,93.8,69.4,17.1,93.7,34.9,93.2,56.9,18.9,99.7,4.8,0.8,0.0,0.8,2.1,1.3
30,Mazatlán,501441,256060,245381,21023,22246,47651,24814,24500,341005,66475,385587,361087,73935,37515,19070,23927,7183,72290,206308,152583,252587,108450,144137,3958,99672,275858,61086,11843,385129,49129,512,65723,152884,55536,97348,498785,171635,327150,152884,196436,152976,6207,50381,152024,151470,101316,22309,150855,151270,146344,120231,32320,144485,70136,141733,96531,40143,11966,9997,3514,4173,2452,117,2317,6875,4608,3.0,0.0,51.1,48.9,4.2,4.4,9.5,4.9,4.9,68.0,72.0,13.3,14.7,50.7,25.8,4.8,50.0,41.8,14.7,17.4,1.9,18.7,57.1,30.4,50.4,42.9,57.1,0.8,19.9,72929,55.0,12.2,2.4,14.5,76.8,9.8,0.1,13.1,36.3,63.7,34.4,65.6,77.9,33.0,99.4,99.1,66.3,14.6,98.7,98.9,95.7,78.6,21.1,94.5,45.9,92.7,63.1,26.3,99.5,4.1,0.5,0.0,0.5,0.9,1.4
31,Mexicali,1049792,520544,529248,37394,45624,99545,51804,51325,734081,122934,814668,763343,302068,151904,32856,44519,13134,208697,399411,311290,540835,222980,317855,7949,190666,576267,142247,41859,692341,148322,1095,203845,330356,103068,227288,1042395,304079,738316,330356,385642,330500,8440,93960,326832,326350,5467,2303,315458,317589,319303,289682,67648,313757,166799,309193,226594,110551,21524,18650,6575,7959,5920,49,5110,11105,9657,3.0,0.0,49.6,50.4,3.6,4.3,9.5,4.9,4.9,69.9,72.7,11.7,28.8,50.3,10.9,4.2,48.3,41.9,14.8,17.9,1.6,25.6,52.3,29.7,51.5,41.2,58.8,0.8,18.2,184106,54.9,13.6,4.0,17.5,66.0,14.1,0.1,19.4,31.2,68.8,29.2,70.8,85.7,28.4,98.9,98.8,1.7,0.7,95.5,96.1,96.7,87.7,20.5,95.0,50.5,93.6,68.6,33.5,99.3,2.6,0.6,0.0,0.5,0.9,1.1
32,Minatitlán,359228,188610,170618,13525,17554,34808,17517,18024,241312,50586,275662,257638,36672,19683,6849,21916,17119,53715,116583,119881,167380,71044,96336,5261,97509,103977,103629,1423,208209,94494,322,55884,111235,38352,72883,359136,112526,246610,111235,139303,111245,14560,47316,109656,97489,47347,8837,108368,108845,95748,80882,13335,94944,30479,95750,47793,12469,10378,10064,3448,4967,15000,140,14808,9477,34835,3.0,0.7,52.5,47.5,3.8,4.9,9.7,4.9,5.0,67.2,71.7,14.1,10.2,53.7,18.7,6.1,47.4,45.9,15.7,22.7,6.2,19.5,45.3,33.4,46.6,42.4,57.6,1.5,27.1,105052,28.9,28.8,0.4,29.2,58.0,26.3,0.1,15.6,34.5,65.5,31.3,68.7,79.9,42.5,98.6,87.6,42.6,7.9,97.4,97.9,86.1,72.7,12.0,85.4,27.4,86.1,43.0,11.2,100.0,13.1,4.2,0.0,4.1,9.7,2.6
33,Monclova-Frontera,345119,173577,171542,17191,19459,35025,16923,16633,227796,43569,256253,239620,20935,10315,3060,17029,3275,71478,122431,117538,150106,57934,92172,5097,53878,251699,17393,4450,241553,53584,170,49189,100874,24400,76474,344899,73031,271868,100874,114656,100904,1554,27322,100409,100104,79182,15529,99591,99999,98739,88853,17610,97296,40665,92559,60791,20834,8853,6859,2536,3641,292,0,289,2342,689,3.0,0.0,50.3,49.7,5.0,5.6,10.1,4.9,4.8,66.0,69.4,12.6,6.1,49.3,14.6,4.9,52.0,40.3,14.9,21.4,1.3,27.9,51.1,34.1,43.5,38.6,61.4,1.5,15.6,21843,72.9,5.0,1.3,6.3,70.0,15.5,0.0,14.3,24.2,75.8,21.2,78.8,88.0,27.1,99.5,99.2,78.5,15.4,98.7,99.1,97.9,88.1,17.5,96.5,40.3,91.8,60.3,20.7,99.9,1.5,0.1,0.0,0.1,0.2,0.7
34,Monterrey,5341177,2671686,2669491,238040,271721,508476,251268,250658,3667264,585321,4053903,3803245,1265248,633974,268335,196328,51184,1139920,2045509,1621013,2615919,1031427,1584492,51438,1016652,3435684,373515,321328,4147820,628617,4939,526148,1522975,415892,1107083,5327136,1342743,3984393,1522975,1836943,1523359,23100,352344,1515133,1511810,206290,37301,1512336,1513225,1471433,1328378,155223,1456660,753248,1422699,1097100,475373,91370,84308,33601,37719,77002,320,75391,93859,157854,3.0,0.4,50.0,50.0,4.5,5.1,9.5,4.7,4.7,68.7,71.2,11.0,23.7,50.1,21.2,3.7,46.5,42.9,17.1,19.2,1.3,28.1,53.8,30.3,49.0,39.4,60.6,1.0,19.0,694843,64.3,7.0,6.0,13.0,77.7,11.8,0.1,9.9,27.3,72.7,25.2,74.8,82.9,23.1,99.5,99.3,13.5,2.4,99.3,99.4,96.6,87.2,10.2,95.6,49.5,93.4,72.0,31.2,99.7,1.5,1.4,0.0,1.4,3.0,1.8
35,Morelia,988704,512204,476500,42869,47705,95869,48350,48437,669551,121856,752109,703672,117830,60392,26484,48242,22364,149959,384616,282888,503461,224019,279442,9910,325482,421003,136101,14664,823406,63612,1754,94137,283050,100907,182143,979940,320079,659861,283050,380322,283286,8264,69395,281601,275432,255451,126451,277272,279363,266308,225483,42659,267080,136423,264781,179320,66084,22606,20906,6457,10340,5993,26,5874,18737,12792,3.0,0.7,51.8,48.2,4.3,4.8,9.7,4.9,4.9,67.7,71.2,12.3,11.9,51.3,22.5,4.9,46.9,43.3,13.4,21.4,3.0,19.9,54.7,28.6,50.9,44.5,55.5,1.0,32.9,150765,42.6,13.8,1.5,15.2,83.3,6.4,0.2,9.5,35.6,64.4,32.7,67.3,74.5,24.5,99.5,97.3,90.2,44.7,98.0,98.7,94.1,79.7,15.1,94.4,48.2,93.5,63.4,23.3,99.1,2.9,0.6,0.0,0.6,1.3,1.9
36,Moroleón-Uriangato,108755,56421,52334,4310,4525,9503,5122,5326,73461,16623,85295,79969,8083,4083,844,4958,4766,19922,24508,31470,57740,25905,31835,891,23613,15035,63169,1361,98135,4953,81,5505,31621,11480,20141,108659,37406,71253,31621,42775,31635,634,9033,31524,31356,29790,13924,31245,31379,30389,26675,11400,30351,10355,26664,14312,3485,2611,2001,639,1167,111,0,110,679,301,3.0,0.0,51.9,48.1,4.0,4.2,8.7,4.7,4.9,67.5,73.5,15.3,7.4,50.5,10.4,4.6,52.7,40.4,12.9,23.5,5.6,23.4,30.6,28.9,53.1,44.9,55.1,0.8,21.7,64530,13.8,58.1,1.3,59.3,90.2,4.6,0.1,5.1,36.3,63.7,34.4,65.6,74.0,28.6,99.7,99.2,94.2,44.0,98.8,99.2,96.1,84.4,36.1,96.0,32.7,84.3,45.3,11.0,99.9,2.0,0.1,0.0,0.1,0.3,0.6
37,Mérida,1316088,677388,638700,49802,58143,115139,58887,60705,916054,167870,1031242,970537,223031,116010,80008,72652,28621,216291,551245,394784,683372,294328,389044,9342,295114,739034,146068,52357,995537,176841,2757,135478,392419,134734,257685,1313792,423632,890160,392419,485739,392597,19871,128445,389869,388032,337479,78404,381787,380733,367525,315343,120235,371108,196104,369294,255730,114861,36439,31168,10341,14199,121226,1462,119085,35726,293431,3.1,0.8,51.5,48.5,3.8,4.4,8.7,4.5,4.6,69.6,73.7,12.8,16.9,52.0,35.9,5.5,50.2,42.9,14.2,19.5,2.8,21.0,56.8,30.0,51.9,43.1,56.9,0.7,22.4,198425,56.2,11.1,4.0,15.1,75.6,13.4,0.2,10.3,34.3,65.7,32.2,67.8,80.8,32.7,99.4,98.9,86.0,20.0,97.3,97.0,93.7,80.4,30.6,94.6,50.0,94.1,65.2,29.3,99.8,5.1,9.2,0.1,9.0,22.3,2.7
38,Nogales,264782,132522,132260,11700,13830,29326,15464,14510,181090,21032,194383,179873,65709,32654,10440,9328,1928,59818,94050,72196,133861,56254,77607,2255,47264,168266,25355,7162,178047,39392,217,46456,78358,28048,50310,263110,92410,170700,78358,90150,78396,2876,20539,77788,74798,59879,6722,77558,77518,75296,65122,4184,74094,36200,74826,55551,21989,4121,4202,1506,1553,1938,13,1866,3051,5043,3.0,0.0,50.0,50.0,4.4,5.2,11.1,5.8,5.5,68.4,67.9,7.9,24.8,49.7,15.9,3.5,44.2,45.0,16.1,16.6,1.0,30.8,52.3,27.3,50.6,42.0,58.0,0.9,17.9,32517,63.5,9.6,2.7,12.3,67.2,14.9,0.1,17.5,35.8,64.2,35.1,64.9,87.0,26.2,99.3,95.5,76.4,8.6,99.0,98.9,96.1,83.1,5.3,94.6,46.2,95.5,70.9,28.1,99.4,3.7,0.7,0.0,0.7,1.9,1.2
39,Nuevo Laredo,425058,215616,209442,19573,23199,46885,23316,22714,283982,42464,311814,289100,123586,64692,12832,19082,6417,86572,132035,125838,205215,82426,122789,3405,111510,234858,50327,7497,293922,72396,359,57544,120296,38422,81874,423829,127064,296765,120296,143080,120335,3311,35279,119687,119394,27656,5307,119126,119404,116060,101964,14804,114983,47667,110558,70540,25965,8616,8798,3002,3342,1737,11,1711,4869,5068,3.0,0.0,50.7,49.3,4.6,5.5,11.0,5.5,5.3,66.8,68.0,10.0,29.1,52.3,10.4,4.5,45.2,46.1,15.7,17.5,2.1,27.8,45.7,29.6,48.3,40.2,59.8,0.8,26.2,57824,55.3,11.8,1.8,13.6,69.1,17.0,0.1,13.5,31.9,68.1,30.0,70.0,84.1,29.3,99.5,99.3,23.0,4.4,99.0,99.3,96.5,84.8,12.3,95.6,39.6,91.9,58.6,21.6,99.7,2.8,0.4,0.0,0.4,1.2,1.1
40,Oaxaca,709361,375752,333609,29131,35091,68076,34885,35197,481764,84348,538639,503442,54357,29146,16880,33173,16148,106807,284756,196343,368746,174430,194316,6144,261184,202909,144514,5933,519822,105608,1040,78678,193539,71769,121770,706558,241693,464865,193539,246856,193650,18261,59055,190437,174069,172443,77886,180019,185953,168062,123933,42816,170529,89799,179794,113507,31822,15499,14571,4697,7433,60308,788,59026,22977,138547,3.0,0.6,53.0,47.0,4.1,4.9,9.6,4.9,5.0,67.9,71.0,11.9,7.7,53.6,31.1,4.7,46.7,43.9,14.2,22.4,3.0,19.8,56.6,27.7,52.0,47.3,52.7,0.9,36.8,150447,28.6,20.4,0.8,21.2,73.3,14.9,0.1,11.1,37.1,62.9,34.2,65.8,78.4,30.5,98.4,89.9,89.1,40.2,93.0,96.1,86.8,64.0,22.1,88.1,46.4,92.9,58.6,16.4,99.6,9.4,8.5,0.1,8.3,19.5,3.2
41,Ocotlán,184603,93984,90619,10220,10673,21290,10236,10065,117035,21733,132073,122008,12408,6162,3039,9925,5268,32628,44824,53329,87166,35403,51763,1207,49721,95587,32198,1566,172800,6836,95,4639,47706,15757,31949,184039,57289,126750,47706,60467,47734,1575,13450,47383,46916,38401,17586,47082,47204,44484,37409,23199,44691,16364,42373,25531,7383,5017,4080,1512,2009,296,0,289,2357,618,3.3,0.7,50.9,49.1,5.5,5.8,11.5,5.5,5.5,63.4,66.1,11.8,6.7,49.7,24.5,5.4,50.5,41.1,15.2,20.2,4.0,24.7,36.7,28.9,47.2,40.6,59.4,0.7,26.9,33764,51.8,17.4,0.8,18.3,93.6,3.7,0.1,2.5,33.0,67.0,31.1,68.9,78.9,28.2,99.3,98.3,80.5,36.9,98.7,98.9,93.2,78.4,48.6,93.7,34.3,88.8,53.5,15.5,99.7,3.3,0.2,0.0,0.2,0.3,1.3
42,Orizaba,465175,245492,219683,19012,21861,46689,23833,24689,308053,65949,353720,329031,30691,17168,7036,24229,22144,67479,158599,158400,213425,90039,123386,5019,128409,189186,114157,7998,391391,53658,384,19409,131762,47425,84337,464602,152433,312169,131762,155016,131802,13060,48082,130741,127027,87890,25871,122250,126286,103691,81787,30356,119615,44347,112266,61153,18729,11096,10532,3796,6219,36523,1427,34976,8009,61419,3.4,0.7,52.8,47.2,4.1,4.7,10.0,5.1,5.3,66.2,70.7,14.2,6.6,55.9,22.9,5.2,45.8,43.5,15.7,25.7,6.3,19.1,48.2,34.1,45.9,42.2,57.8,1.1,27.6,122155,40.7,24.5,1.7,26.3,84.1,11.5,0.1,4.2,36.0,64.0,32.8,67.2,85.0,36.5,99.2,96.4,66.7,19.6,92.8,95.8,78.7,62.1,23.0,90.8,33.7,85.2,46.4,14.2,99.9,9.9,7.9,0.3,7.5,13.2,1.7
43,Pachuca,665929,348217,317712,23397,30035,61002,32570,33670,465233,78116,516227,482557,171455,91403,48232,32986,10699,118874,287784,196574,343617,156042,187575,7518,215050,238571,102762,10372,491172,74853,1989,94131,199376,70533,128843,663190,211658,451532,199376,287173,199430,4812,44881,197723,194348,173627,64229,195707,196705,180234,148576,34587,187691,101553,187209,125243,49278,14084,15838,4093,7098,15703,102,15462,13234,39219,3.0,0.0,52.3,47.7,3.5,4.5,9.2,4.9,5.1,69.9,72.5,11.7,25.7,53.3,28.1,5.0,42.7,48.0,12.4,21.5,2.1,23.0,59.6,29.5,51.6,45.4,54.6,1.1,32.3,113134,35.8,15.4,1.6,17.0,73.8,11.2,0.3,14.1,35.4,64.6,31.9,68.1,69.4,22.5,99.2,97.5,87.1,32.2,98.2,98.7,90.4,74.5,17.3,94.1,50.9,93.9,62.8,24.7,99.6,2.4,2.4,0.0,2.3,5.9,2.0
44,Piedras Negras,209456,104146,105310,10795,12061,22759,11118,10872,139642,20248,152423,141551,27261,13225,4911,8120,2241,51231,59530,64871,95815,37451,58364,2004,40505,143658,12112,3490,132444,42770,101,33542,61077,16606,44471,207994,52299,155695,61077,73760,61111,1257,17043,60750,60660,11758,1301,60414,60540,59500,54720,13356,58707,25915,57066,38934,14243,3913,3360,1394,1617,279,0,272,1663,708,3.0,0.0,49.7,50.3,5.2,5.8,10.9,5.3,5.2,66.7,67.6,9.7,13.0,48.5,18.0,3.9,48.2,41.4,17.2,19.9,1.5,33.6,42.1,31.0,45.7,39.1,60.9,1.0,19.3,15602,68.6,5.8,1.7,7.4,63.2,20.4,0.0,16.0,27.2,72.8,25.1,74.9,82.9,27.9,99.5,99.3,19.3,2.1,98.9,99.1,97.4,89.6,21.9,96.1,42.4,93.4,63.7,23.3,99.3,2.1,0.1,0.0,0.1,0.3,0.8
45,Poza Rica,521530,273353,248177,20350,24281,51181,25555,26291,341806,81782,399985,373694,47890,25487,8964,32279,24949,80964,170468,169069,251040,104407,146633,4130,149147,133588,154480,4960,352614,98505,333,69411,151821,53602,98219,520599,169040,351559,151821,183859,151851,19155,56535,149118,125362,97008,28815,125826,132569,131778,102397,11791,134572,42594,127267,67874,17323,14968,14717,5635,8147,42309,998,40983,7825,86249,3.0,0.6,52.4,47.6,3.9,4.7,9.8,4.9,5.0,65.5,71.7,15.7,9.2,53.2,18.7,6.2,46.4,45.6,17.5,25.2,6.2,20.2,45.6,32.4,48.1,41.6,58.4,0.8,28.6,159440,25.6,29.6,1.0,30.6,67.6,18.9,0.1,13.3,35.3,64.7,32.5,67.5,82.6,37.2,98.2,82.6,63.9,19.0,82.9,87.3,86.8,67.4,7.8,88.6,28.1,83.8,44.7,11.4,99.8,12.6,8.1,0.2,7.9,16.5,1.5
46,Puebla-Tlaxcala,3199530,1660200,1539330,141970,158768,309350,159344,165283,2183427,360009,2424455,2259172,436806,238097,97596,118887,67085,518335,1211387,968820,1575166,671904,903262,34363,988985,1127381,771340,77822,2658382,259065,6611,265796,859166,285606,573560,3191095,963036,2228059,859166,1049064,859413,35527,227651,853745,832828,684841,491121,842370,847066,735566,604519,252334,804955,372519,777109,491886,179643,53728,52086,18528,28459,84091,1296,82040,67784,196915,3.7,0.7,51.9,48.1,4.4,5.0,9.7,5.0,5.2,68.2,70.6,11.3,13.7,54.5,22.3,3.7,45.2,43.8,15.6,23.9,2.8,21.4,53.6,30.3,49.2,42.7,57.3,1.1,30.9,849162,35.2,24.1,2.4,26.5,83.1,8.1,0.2,8.3,33.2,66.8,30.2,69.8,81.9,26.5,99.4,96.9,79.7,57.2,98.0,98.6,85.6,70.4,29.4,93.7,43.4,90.4,57.3,20.9,99.7,4.1,2.6,0.0,2.6,6.2,2.1
47,Puerto Vallarta,479471,238990,240481,24513,25580,51123,24925,23523,325720,42157,352976,329453,202912,100703,44151,20702,7856,88209,162812,110592,263212,113710,149502,2860,131647,271669,51020,10052,358099,49899,938,69037,141781,48036,93745,478101,157647,320454,141781,199925,141841,12075,48595,140759,139800,83652,22582,140510,140661,132588,106384,25995,127323,60877,134531,90121,38258,9759,8940,3309,3618,4844,63,4743,8022,10973,3.0,1.0,49.8,50.2,5.1,5.3,10.7,5.2,4.9,67.9,68.7,8.8,42.3,49.6,21.8,4.3,47.1,43.2,16.0,17.5,2.2,25.0,49.4,23.1,54.9,43.2,56.8,0.6,27.5,61072,56.7,10.6,2.1,12.7,74.7,10.4,0.2,14.4,33.9,66.1,33.0,67.0,70.9,34.3,99.3,98.6,59.0,15.9,99.1,99.2,93.5,75.0,18.3,89.8,42.9,94.9,63.6,27.0,99.7,8.5,1.0,0.0,1.0,2.3,1.7
